Average Reward,Reward Min,Reward Max,Advantage Mean,Advantage Std,Entropy Loss,Policy Loss,Value Loss
-8.9103,-15.0228,0.964,0.0,1.0,1.4189,0.0775,17469.4883
-6.5924,-11.5141,0.9313,0.0,1.0,1.4189,-0.0,787.1619
-6.0262,-8.9816,0.9825,-0.0,1.0,1.4189,0.2387,4840.2788
-5.5265,-11.075,0.9736,0.0,1.0,1.4189,-0.0,852.4836
-8.2149,-14.6411,0.9613,0.0,1.0,1.4189,-0.0,332.5302
-5.8156,-9.424,0.9658,0.0,1.0,1.4189,0.287,2887.9932
-7.1275,-12.2349,0.8713,-0.0,1.0,1.4189,0.7176,9090.1758
-7.3143,-12.1266,0.9651,-0.0,1.0,1.4189,-0.0,1266.8754
-7.1979,-11.6036,0.9706,0.0,1.0,1.4189,-0.0,1364.9622
-8.4763,-11.7431,0.9651,-0.0,1.0,1.4189,0.4248,4685.6597
-6.3052,-9.9876,0.9133,0.0,1.0,1.4189,-0.0,2370.3076
-8.94,-13.4742,0.891,-0.0,1.0,1.4189,0.0097,3220.6309
-6.1605,-11.4532,0.9676,-0.0,1.0,1.4189,0.0131,2224.2051
-6.4447,-9.4665,0.9669,-0.0,1.0,1.4189,0.1101,1728.7242
-7.3964,-14.2363,0.8205,-0.0,1.0,1.4189,-0.0,3356.2144
-6.0598,-7.8579,0.9676,-0.0,1.0,1.4189,-0.0,2594.7952
-6.4996,-9.5771,0.9733,0.0,1.0,1.4189,0.5205,2659.3975
-6.9424,-12.2217,0.9651,0.0,1.0,1.4189,0.4689,3367.9307
-6.9289,-13.6328,0.9887,0.0,1.0,1.4189,-0.0,4061.0645
-8.2186,-12.3227,0.8523,-0.0,1.0,1.4189,0.0894,1963.4075
-9.1349,-14.3779,0.0482,-0.0,1.0,1.4189,0.6855,7607.4526
-7.7602,-16.4283,0.9568,-0.0,1.0,1.4189,-0.0,4500.1152
-7.3344,-11.6822,0.9904,0.0,1.0,1.4189,0.0972,2929.8584
-7.8853,-11.6185,0.908,0.0,1.0,1.4189,0.0131,2686.2393
-7.4759,-12.2652,0.982,-0.0,1.0,1.4189,0.13,3626.3472
-7.7142,-14.2104,0.9752,-0.0,1.0,1.4189,0.1661,3571.9504
-6.4517,-11.5751,0.9523,-0.0,1.0,1.4189,0.0031,1789.824
-7.0117,-13.1061,0.9651,0.0,1.0,1.4189,-0.0,4904.3164
-5.5495,-10.6124,0.9431,0.0,1.0,1.4189,-0.0,4768.3252
-7.0843,-11.2255,0.9676,-0.0,1.0,1.4189,0.0,2733.6113
-8.3815,-12.1005,0.9524,-0.0,1.0,1.4189,0.2316,3068.1458
-6.7347,-11.1228,0.9651,-0.0,1.0,1.4189,0.3229,1745.38
-7.6587,-12.0577,0.7436,-0.0,1.0,1.4189,0.1558,2857.1064
-7.17,-11.4053,0.9621,-0.0,1.0,1.4189,0.3834,1110.312
-7.5687,-12.0999,0.966,0.0,1.0,1.4189,0.0298,3369.0122
-9.278,-14.4931,0.9434,0.0,1.0,1.4189,0.1289,3572.6172
-8.5694,-14.5068,0.9719,0.0,1.0,1.4189,-0.0,9729.9346
-8.3538,-13.7124,0.936,-0.0,1.0,1.4189,0.6942,6673.4214
-8.1728,-12.922,0.9778,-0.0,1.0,1.4189,0.1117,2601.833
-6.5998,-13.7779,0.9812,0.0,1.0,1.4189,0.4468,2922.6406
